basket_size,basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
3,1,1,LTF,LTF.NS,L&T Finance Ltd.,Financial Services,0.12724494433579828,3
3,1,2,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,0.12724494433579828,3
3,1,3,PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,0.12724494433579828,3
3,2,1,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,0.13703677955574556,3
3,2,2,HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,0.13703677955574556,3
3,2,3,ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,0.13703677955574556,3
3,3,1,CANBK,CANBK.NS,Canara Bank,Financial Services,0.11835390808082587,3
3,3,2,NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,0.11835390808082587,3
3,3,3,MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,0.11835390808082587,3
3,4,1,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,0.14729373337741383,3
3,4,2,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,0.14729373337741383,3
3,4,3,TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,0.14729373337741383,3
3,5,1,SBIN,SBIN.NS,State Bank of India,Financial Services,0.14709189204253503,3
3,5,2,PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,0.14709189204253503,3
3,5,3,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,0.14709189204253503,3
3,6,1,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,0.15379389793291928,3
3,6,2,CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,0.15379389793291928,3
3,6,3,VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,0.15379389793291928,3
3,7,1,PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,0.1447355372994992,3
3,7,2,INFY,INFY.NS,Infosys Ltd.,Information Technology,0.1447355372994992,3
3,7,3,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,0.1447355372994992,3
3,8,1,RECLTD,RECLTD.NS,REC Ltd.,Financial Services,0.1560629181161871,3
3,8,2,BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,0.1560629181161871,3
3,8,3,IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication,0.1560629181161871,3
3,9,1,FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,0.1569137264411309,3
3,9,2,MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology,0.1569137264411309,3
3,9,3,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.1569137264411309,3
3,10,1,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,0.17014422783650843,3
3,10,2,OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,0.17014422783650843,3
3,10,3,TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,0.17014422783650843,3
3,11,1,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,0.15909208472097017,3
3,11,2,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,0.15909208472097017,3
3,11,3,INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,0.15909208472097017,3
3,12,1,BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,0.1498978039586436,3
3,12,2,WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,0.1498978039586436,3
3,12,3,PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,0.1498978039586436,3
3,13,1,AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,0.13830026098392784,3
3,13,2,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,0.13830026098392784,3
3,13,3,MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,0.13830026098392784,3
3,14,1,ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,0.15766606739295966,3
3,14,2,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,0.15766606739295966,3
