basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.12540652240618635,4,"LTF, DRREDDY, PATANJALI, TIINDIA","Financial Services, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components"
2,0.1330402458024536,4,"LICHSGFIN, HCLTECH, ALKEM, POWERINDIA","Financial Services, Information Technology, Healthcare, Capital Goods"
3,0.12913133576301858,4,"CANBK, NESTLEIND, MAXHEALTH, TCS","Financial Services, Fast Moving Consumer Goods, Healthcare, Information Technology"
4,0.14800421932329774,4,"IDFCFIRSTB, TORNTPHARM, MPHASIS, PHOENIXLTD","Financial Services, Healthcare, Information Technology, Realty"
5,0.1376452891003595,4,"SBIN, PERSISTENT, HINDUNILVR, SUZLON","Financial Services, Information Technology, Fast Moving Consumer Goods, Capital Goods"
6,0.14695611959383595,4,"ABCAPITAL, CIPLA, VBL, INFY","Financial Services, Healthcare, Fast Moving Consumer Goods, Information Technology"
7,0.1552408332642005,4,"PFC, BRITANNIA, IDEA, GVT&D","Financial Services, Fast Moving Consumer Goods, Telecommunication, Capital Goods"
8,0.16881532474874864,4,"RECLTD, WIPRO, GODFRYPHLP, BHARTIARTL","Financial Services, Information Technology, Fast Moving Consumer Goods, Telecommunication"
9,0.16557268998385807,4,"FEDERALBNK, NYKAA, LUPIN, MARICO","Financial Services, Consumer Services, Healthcare, Fast Moving Consumer Goods"
10,0.174615014846189,4,"HDFCAMC, OIL, ASIANPAINT, SUNPHARMA","Financial Services, Oil Gas & Consumable Fuels, Consumer Durables, Healthcare"
11,0.15596492595853145,4,"M&MFIN, DIVISLAB, INDUSTOWER, SUPREMEIND","Financial Services, Healthcare, Telecommunication, Capital Goods"
12,0.15148863107103824,4,"BANKBARODA, COLPAL, LTM, BLUESTARCO","Financial Services, Fast Moving Consumer Goods, Information Technology, Consumer Durables"
13,0.16105560404265354,4,"AXISBANK, KALYANKJIL, GODREJCP, SOLARINDS","Financial Services, Consumer Durables, Fast Moving Consumer Goods, Chemicals"
14,0.16753345658153174,4,"ICICIBANK, ZYDUSLIFE, KPITTECH, ADANIGREEN","Financial Services, Healthcare, Information Technology, Power"
15,0.17269235760615967,4,"BAJAJFINSV, FORTIS, CGPOWER, COFORGE","Financial Services, Healthcare, Capital Goods, Information Technology"
16,0.17943059269505146,4,"HUDCO, APOLLOHOSP, RADICO, TECHM","Financial Services, Healthcare, Fast Moving Consumer Goods, Information Technology"
17,0.17744678602981112,4,"UNIONBANK, NAUKRI, PAGEIND, POWERGRID","Financial Services, Consumer Services, Textiles, Power"
18,0.18349872634652123,4,"PNB, DABUR, APLAPOLLO, OFSS","Financial Services, Fast Moving Consumer Goods, Capital Goods, Information Technology"
19,0.1902645165439346,4,"BANKINDIA, DMART, GLENMARK, ASTRAL","Financial Services, Consumer Services, Healthcare, Capital Goods"
20,0.19535269293689927,4,"BAJFINANCE, MAZDOCK, AUROPHARMA, ATGL","Financial Services, Capital Goods, Healthcare, Oil Gas & Consumable Fuels"
21,0.18887398832770527,4,"SHRIRAMFIN, ITC, PIIND, KEI","Financial Services, Fast Moving Consumer Goods, Chemicals, Capital Goods"
22,0.20006205646229783,4,"HDFCBANK, NHPC, LAURUSLABS, INDIGO","Financial Services, Power, Healthcare, Services"
23,0.18951423066468295,4,"SBICARD, TATACOMM, ADANIENSOL, COROMANDEL","Financial Services, Telecommunication, Power, Chemicals"
24,0.19350311978374093,4,"CHOLAFIN, ONGC, ETERNAL, BIOCON","Financial Services, Oil Gas & Consumable Fuels, Consumer Services, Healthcare"
25,0.20896422084990898,4,"INDUSINDBK, COCHINSHIP, UNITDSPR, HINDZINC","Financial Services, Capital Goods, Fast Moving Consumer Goods, Metals & Mining"
26,0.21197016177297348,4,"INDIANB, TATAELXSI, TRENT, BDL","Financial Services, Information Technology, Consumer Services, Capital Goods"
27,0.2082987933301135,4,"HDFCLIFE, COALINDIA, PRESTIGE, ABB","Financial Services, Oil Gas & Consumable Fuels, Realty, Capital Goods"
28,0.2156849952996539,4,"KOTAKBANK, HAL, PIDILITIND, ADANIPOWER","Financial Services, Capital Goods, Chemicals, Power"
29,0.22168834568043316,4,"SBILIFE, JSWENERGY, CUMMINSIND, JUBLFOOD","Financial Services, Power, Capital Goods, Consumer Services"
30,0.2205471862750837,4,"IRFC, TITAN, VEDL, BAJAJ-AUTO","Financial Services, Consumer Durables, Metals & Mining, Automobile and Auto Components"
31,0.2232751885995362,4,"MUTHOOTFIN, OBEROIRLTY, HINDPETRO, INDHOTEL","Financial Services, Realty, Oil Gas & Consumable Fuels, Consumer Services"
32,0.24068245433993005,4,"MCX, HEROMOTOCO, ADANIENT, RVNL","Financial Services, Automobile and Auto Components, Metals & Mining, Construction"
33,0.235177003563837,4,"ICICIGI, DIXON, NATIONALUM, TVSMOTOR","Financial Services, Consumer Durables, Metals & Mining, Automobile and Auto Components"
34,0.2406663526892102,4,"MFSL, GAIL, SHREECEM, LODHA","Financial Services, Oil Gas & Consumable Fuels, Construction Materials, Realty"
35,0.25177144614852237,4,"EXIDEIND, BAJAJHLDNG, RELIANCE, NTPC","Automobile and Auto Components, Financial Services, Oil Gas & Consumable Fuels, Power"
36,0.22007172639291853,4,"BHARATFORG, YESBANK, CONCOR, TATACONSUM","Automobile and Auto Components, Financial Services, Services, Fast Moving Consumer Goods"
37,0.24650053912219963,4,"MOTHERSON, 360ONE, IOC, SRF","Automobile and Auto Components, Financial Services, Oil Gas & Consumable Fuels, Chemicals"
38,0.24420399625382308,4,"SAIL, PAYTM, EICHERMOT, HAVELLS","Metals & Mining, Financial Services, Automobile and Auto Components, Consumer Durables"
39,0.27189417953152123,4,"TATASTEEL, AUBANK, IRCTC, MARUTI","Metals & Mining, Financial Services, Consumer Services, Automobile and Auto Components"
40,0.27963700320684487,4,"SIEMENS, BSE, MRF, UPL","Capital Goods, Financial Services, Automobile and Auto Components, Chemicals"
41,0.27149858671328003,4,"JSWSTEEL, POLICYBZR, BEL, BPCL","Metals & Mining, Financial Services, Capital Goods, Oil Gas & Consumable Fuels"
42,0.29371736626511674,4,"GRASIM, MOTILALOFS, POLYCAB, TMPV","Construction Materials, Financial Services, Capital Goods, Automobile and Auto Components"
43,0.27998693975898287,4,"HINDALCO, TATAINVEST, BOSCHLTD, GMRAIRPORT","Metals & Mining, Financial Services, Automobile and Auto Components, Services"
44,0.34933883281192474,4,"DLF, M&M, VOLTAS, NMDC","Realty, Automobile and Auto Components, Consumer Durables, Metals & Mining"
45,0.361546730966442,4,"ULTRACEMCO, BHEL, GODREJPROP, JINDALSTEL","Construction Materials, Capital Goods, Realty, Metals & Mining"
46,0.4106573986527939,4,"LT, TATAPOWER, AMBUJACEM, ASHOKLEY","Construction, Power, Construction Materials, Capital Goods"
