basket_size,basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
10,1,1,LTF,LTF.NS,L&T Finance Ltd.,Financial Services,0.1373941658737139,10
10,1,2,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,0.1373941658737139,10
10,1,3,PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,0.1373941658737139,10
10,1,4,TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,0.1373941658737139,10
10,1,5,INFY,INFY.NS,Infosys Ltd.,Information Technology,0.1373941658737139,10
10,1,6,GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,0.1373941658737139,10
10,1,7,IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication,0.1373941658737139,10
10,1,8,OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,0.1373941658737139,10
10,1,9,PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,0.1373941658737139,10
10,1,10,PAGEIND,PAGEIND.NS,Page Industries Ltd.,Textiles,0.1373941658737139,10
10,2,1,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,0.14995595112601726,10
10,2,2,HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,0.14995595112601726,10
10,2,3,ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,0.14995595112601726,10
10,2,4,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,0.14995595112601726,10
10,2,5,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,0.14995595112601726,10
10,2,6,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,0.14995595112601726,10
10,2,7,BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,0.14995595112601726,10
10,2,8,INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,0.14995595112601726,10
10,2,9,SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,0.14995595112601726,10
10,2,10,HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,0.14995595112601726,10
10,3,1,CANBK,CANBK.NS,Canara Bank,Financial Services,0.1590255316392122,10
10,3,2,NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,0.1590255316392122,10
10,3,3,MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,0.1590255316392122,10
10,3,4,TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,0.1590255316392122,10
10,3,5,SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,0.1590255316392122,10
10,3,6,NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,0.1590255316392122,10
10,3,7,ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,0.1590255316392122,10
10,3,8,COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,Chemicals,0.1590255316392122,10
10,3,9,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,0.1590255316392122,10
10,3,10,PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,0.1590255316392122,10
10,4,1,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,0.1716096173258303,10
10,4,2,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,0.1716096173258303,10
10,4,3,MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology,0.1716096173258303,10
10,4,4,VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,0.1716096173258303,10
10,4,5,CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,0.1716096173258303,10
10,4,6,DMART,DMART.NS,Avenue Supermarts Ltd.,Consumer Services,0.1716096173258303,10
10,4,7,POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,0.1716096173258303,10
10,4,8,INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,Services,0.1716096173258303,10
10,4,9,ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,0.1716096173258303,10
10,4,10,ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,0.1716096173258303,10
10,5,1,SBIN,SBIN.NS,State Bank of India,Financial Services,0.17858708790697234,10
10,5,2,PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,0.17858708790697234,10
10,5,3,GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,0.17858708790697234,10
10,5,4,FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,0.17858708790697234,10
10,5,5,SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,0.17858708790697234,10
10,5,6,ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,0.17858708790697234,10
10,5,7,NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,0.17858708790697234,10
10,5,8,TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,0.17858708790697234,10
10,5,9,COALINDIA,COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,0.17858708790697234,10
10,5,10,PIIND,PIIND.NS,PI Industries Ltd.,Chemicals,0.17858708790697234,10
10,6,1,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,0.1956304736816829,10
10,6,2,CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,0.1956304736816829,10
10,6,3,TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,0.1956304736816829,10
10,6,4,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,0.1956304736816829,10
10,6,5,KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,0.1956304736816829,10
10,6,6,KEI,KEI.NS,KEI Industries Ltd.,Capital Goods,0.1956304736816829,10
10,6,7,PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,0.1956304736816829,10
10,6,8,ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services,0.1956304736816829,10
10,6,9,RVNL,RVNL.NS,Rail Vikas Nigam Ltd.,Construction,0.1956304736816829,10
10,6,10,VEDL,VEDL.NS,Vedanta Ltd.,Metals & Mining,0.1956304736816829,10
10,7,1,PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,0.21141136868875685,10
10,7,2,BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,0.21141136868875685,10
10,7,3,KPITTECH,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,0.21141136868875685,10
10,7,4,LUPIN,LUPIN.NS,Lupin Ltd.,Healthcare,0.21141136868875685,10
10,7,5,BDL,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,0.21141136868875685,10
10,7,6,TRENT,TRENT.NS,Trent Ltd.,Consumer Services,0.21141136868875685,10
10,7,7,OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,0.21141136868875685,10
10,7,8,TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables,0.21141136868875685,10
10,7,9,NHPC,NHPC.NS,NHPC Ltd.,Power,0.21141136868875685,10
10,7,10,HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.21141136868875685,10
10,8,1,RECLTD,RECLTD.NS,REC Ltd.,Financial Services,0.22035144143914956,10
10,8,2,WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,0.22035144143914956,10
10,8,3,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.22035144143914956,10
10,8,4,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,0.22035144143914956,10
10,8,5,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,0.22035144143914956,10
10,8,6,INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,0.22035144143914956,10
10,8,7,TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components,0.22035144143914956,10
10,8,8,ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,0.22035144143914956,10
10,8,9,DIXON,DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,0.22035144143914956,10
10,8,10,BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,0.22035144143914956,10
10,9,1,FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,0.22550353286092625,10
10,9,2,MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,0.22550353286092625,10
10,9,3,COFORGE,COFORGE.NS,Coforge Ltd.,Information Technology,0.22550353286092625,10
10,9,4,HAL,HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,0.22550353286092625,10
10,9,5,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,0.22550353286092625,10
10,9,6,NTPC,NTPC.NS,NTPC Ltd.,Power,0.22550353286092625,10
10,9,7,LODHA,LODHA.NS,Lodha Developers Ltd.,Realty,0.22550353286092625,10
10,9,8,BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,0.22550353286092625,10
10,9,9,JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,0.22550353286092625,10
10,9,10,ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,0.22550353286092625,10
10,10,1,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,0.2305058914111944,10
10,10,2,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,0.2305058914111944,10
10,10,3,ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,0.2305058914111944,10
10,10,4,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,0.2305058914111944,10
10,10,5,LTM,LTM.NS,LTM Ltd.,Information Technology,0.2305058914111944,10
10,10,6,JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,Power,0.2305058914111944,10
10,10,7,EICHERMOT,EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,0.2305058914111944,10
10,10,8,NATIONALUM,NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,0.2305058914111944,10
10,10,9,SHREECEM,SHREECEM.NS,Shree Cement Ltd.,Construction Materials,0.2305058914111944,10
10,10,10,UPL,UPL.NS,UPL Ltd.,Chemicals,0.2305058914111944,10
10,11,1,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,0.24269575759873968,10
10,11,2,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,0.24269575759873968,10
10,11,3,OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,0.24269575759873968,10
10,11,4,RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,0.24269575759873968,10
10,11,5,ASTRAL,ASTRAL.NS,Astral Ltd.,Capital Goods,0.24269575759873968,10
