basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.1373941658737139,10,"LTF, DRREDDY, PATANJALI, TIINDIA, INFY, GVT&D, IDEA, OIL, PHOENIXLTD, PAGEIND","Financial Services, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components, Information Technology, Capital Goods, Telecommunication, Oil Gas & Consumable Fuels, Realty, Textiles"
2,0.14995595112601726,10,"LICHSGFIN, HCLTECH, ALKEM, POWERINDIA, HINDUNILVR, ADANIGREEN, BLUESTARCO, INDUSTOWER, SOLARINDS, HINDZINC","Financial Services, Information Technology, Healthcare, Capital Goods, Fast Moving Consumer Goods, Power, Consumer Durables, Telecommunication, Chemicals, Metals & Mining"
3,0.1590255316392122,10,"CANBK, NESTLEIND, MAXHEALTH, TCS, SUZLON, NYKAA, ATGL, COROMANDEL, BHARTIARTL, PRESTIGE","Financial Services, Fast Moving Consumer Goods, Healthcare, Information Technology, Capital Goods, Consumer Services, Oil Gas & Consumable Fuels, Chemicals, Telecommunication, Realty"
4,0.1716096173258303,10,"IDFCFIRSTB, TORNTPHARM, MPHASIS, VBL, CGPOWER, DMART, POWERGRID, INDIGO, ASIANPAINT, ONGC","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Capital Goods, Consumer Services, Power, Services, Consumer Durables, Oil Gas & Consumable Fuels"
5,0.17858708790697234,10,"SBIN, PERSISTENT, GODREJCP, FORTIS, SUPREMEIND, ADANIENSOL, NAUKRI, TATACOMM, COALINDIA, PIIND","Financial Services, Information Technology, Fast Moving Consumer Goods, Healthcare, Capital Goods, Power, Consumer Services, Telecommunication, Oil Gas & Consumable Fuels, Chemicals"
6,0.1956304736816829,10,"ABCAPITAL, CIPLA, TECHM, GODFRYPHLP, KALYANKJIL, KEI, PIDILITIND, ETERNAL, RVNL, VEDL","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Consumer Durables, Capital Goods, Chemicals, Consumer Services, Construction, Metals & Mining"
7,0.21141136868875685,10,"PFC, BRITANNIA, KPITTECH, LUPIN, BDL, TRENT, OBEROIRLTY, TITAN, NHPC, HINDPETRO","Financial Services, Fast Moving Consumer Goods, Information Technology, Healthcare, Capital Goods, Consumer Services, Realty, Consumer Durables, Power, Oil Gas & Consumable Fuels"
8,0.22035144143914956,10,"RECLTD, WIPRO, COLPAL, SUNPHARMA, APLAPOLLO, INDHOTEL, TVSMOTOR, ADANIPOWER, DIXON, BPCL","Financial Services, Information Technology, Fast Moving Consumer Goods, Healthcare, Capital Goods, Consumer Services, Automobile and Auto Components, Power, Consumer Durables, Oil Gas & Consumable Fuels"
9,0.22550353286092625,10,"FEDERALBNK, MARICO, COFORGE, HAL, APOLLOHOSP, NTPC, LODHA, BAJAJ-AUTO, JUBLFOOD, ADANIENT","Financial Services, Fast Moving Consumer Goods, Information Technology, Capital Goods, Healthcare, Power, Realty, Automobile and Auto Components, Consumer Services, Metals & Mining"
10,0.2305058914111944,10,"HDFCAMC, DIVISLAB, ITC, COCHINSHIP, LTM, JSWENERGY, EICHERMOT, NATIONALUM, SHREECEM, UPL","Financial Services, Healthcare, Fast Moving Consumer Goods, Capital Goods, Information Technology, Power, Automobile and Auto Components, Metals & Mining, Construction Materials, Chemicals"
11,0.24269575759873968,10,"M&MFIN, ZYDUSLIFE, OFSS, RADICO, ASTRAL, GAIL, HEROMOTOCO, HAVELLS, CONCOR, SRF","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Capital Goods, Oil Gas & Consumable Fuels, Automobile and Auto Components, Consumer Durables, Services, Chemicals"
12,0.25732927361363556,10,"BANKBARODA, DABUR, ABB, LAURUSLABS, TATAELXSI, RELIANCE, IRCTC, VOLTAS, NMDC, MARUTI","Financial Services, Fast Moving Consumer Goods, Capital Goods, Healthcare, Information Technology, Oil Gas & Consumable Fuels, Consumer Services, Consumer Durables, Metals & Mining, Automobile and Auto Components"
13,0.29051457238724615,10,"AXISBANK, GLENMARK, CUMMINSIND, UNITDSPR, IOC, MRF, GMRAIRPORT, GODREJPROP, HINDALCO, AMBUJACEM","Financial Services, Healthcare, Capital Goods, Fast Moving Consumer Goods, Oil Gas & Consumable Fuels, Automobile and Auto Components, Services, Realty, Metals & Mining, Construction Materials"
14,0.3384406112427853,10,"ICICIBANK, MAZDOCK, AUROPHARMA, TATACONSUM, M&M, ADANIPORTS, JINDALSTEL, ULTRACEMCO, TATAPOWER, LT","Financial Services, Capital Goods, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components, Services, Metals & Mining, Construction Materials, Power, Construction"
