basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.13495406108423436,9,"LTF, DRREDDY, PATANJALI, TIINDIA, INFY, GVT&D, IDEA, OIL, PHOENIXLTD","Financial Services, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components, Information Technology, Capital Goods, Telecommunication, Oil Gas & Consumable Fuels, Realty"
2,0.14588918166086118,9,"LICHSGFIN, HCLTECH, ALKEM, POWERINDIA, HINDUNILVR, ADANIGREEN, BLUESTARCO, INDUSTOWER, SOLARINDS","Financial Services, Information Technology, Healthcare, Capital Goods, Fast Moving Consumer Goods, Power, Consumer Durables, Telecommunication, Chemicals"
3,0.15365484202260926,9,"CANBK, NESTLEIND, MAXHEALTH, TCS, SUZLON, NYKAA, ATGL, COROMANDEL, PAGEIND","Financial Services, Fast Moving Consumer Goods, Healthcare, Information Technology, Capital Goods, Consumer Services, Oil Gas & Consumable Fuels, Chemicals, Textiles"
4,0.16363004658671965,9,"IDFCFIRSTB, TORNTPHARM, MPHASIS, VBL, CGPOWER, BHARTIARTL, DMART, POWERGRID, INDIGO","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Capital Goods, Telecommunication, Consumer Services, Power, Services"
5,0.17516896946043142,9,"SBIN, PERSISTENT, GODREJCP, FORTIS, SUPREMEIND, ADANIENSOL, NAUKRI, TATACOMM, HINDZINC","Financial Services, Information Technology, Fast Moving Consumer Goods, Healthcare, Capital Goods, Power, Consumer Services, Telecommunication, Metals & Mining"
6,0.18409581473177072,9,"ABCAPITAL, CIPLA, TECHM, GODFRYPHLP, KALYANKJIL, KEI, ONGC, ETERNAL, PIDILITIND","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Consumer Durables, Capital Goods, Oil Gas & Consumable Fuels, Consumer Services, Chemicals"
7,0.2021627790988677,9,"PFC, BRITANNIA, KPITTECH, LUPIN, BDL, TRENT, OBEROIRLTY, PIIND, ASIANPAINT","Financial Services, Fast Moving Consumer Goods, Information Technology, Healthcare, Capital Goods, Consumer Services, Realty, Chemicals, Consumer Durables"
8,0.20372045219329013,9,"RECLTD, WIPRO, COLPAL, SUNPHARMA, PRESTIGE, APLAPOLLO, INDHOTEL, TVSMOTOR, COALINDIA","Financial Services, Information Technology, Fast Moving Consumer Goods, Healthcare, Realty, Capital Goods, Consumer Services, Automobile and Auto Components, Oil Gas & Consumable Fuels"
9,0.21488368757020349,9,"FEDERALBNK, MARICO, COFORGE, HAL, APOLLOHOSP, HINDPETRO, LODHA, BAJAJ-AUTO, VEDL","Financial Services, Fast Moving Consumer Goods, Information Technology, Capital Goods, Healthcare, Oil Gas & Consumable Fuels, Realty, Automobile and Auto Components, Metals & Mining"
10,0.2194336771390439,9,"HDFCAMC, DIVISLAB, ITC, COCHINSHIP, LTM, ADANIPOWER, DIXON, EICHERMOT, RVNL","Financial Services, Healthcare, Fast Moving Consumer Goods, Capital Goods, Information Technology, Power, Consumer Durables, Automobile and Auto Components, Construction"
11,0.2242843696242281,9,"M&MFIN, ZYDUSLIFE, OFSS, RADICO, ASTRAL, NTPC, TITAN, SHREECEM, NATIONALUM","Financial Services, Healthcare, Information Technology, Fast Moving Consumer Goods, Capital Goods, Power, Consumer Durables, Construction Materials, Metals & Mining"
12,0.2352565083998871,9,"BANKBARODA, DABUR, ABB, LAURUSLABS, TATAELXSI, NHPC, JUBLFOOD, BPCL, HEROMOTOCO","Financial Services, Fast Moving Consumer Goods, Capital Goods, Healthcare, Information Technology, Power, Consumer Services, Oil Gas & Consumable Fuels, Automobile and Auto Components"
13,0.26007127340711333,9,"AXISBANK, GLENMARK, CUMMINSIND, UNITDSPR, JSWENERGY, HAVELLS, RELIANCE, ADANIENT, CONCOR","Financial Services, Healthcare, Capital Goods, Fast Moving Consumer Goods, Power, Consumer Durables, Oil Gas & Consumable Fuels, Metals & Mining, Services"
14,0.28409425754518014,9,"ICICIBANK, MAZDOCK, AUROPHARMA, TATACONSUM, IOC, IRCTC, MARUTI, VOLTAS, UPL","Financial Services, Capital Goods, Healthcare, Fast Moving Consumer Goods, Oil Gas & Consumable Fuels, Consumer Services, Automobile and Auto Components, Consumer Durables, Chemicals"
15,0.3089066822865585,9,"BAJAJFINSV, BIOCON, GAIL, SRF, MOTHERSON, BEL, GODREJPROP, ADANIPORTS, NMDC","Financial Services, Healthcare, Oil Gas & Consumable Fuels, Chemicals, Automobile and Auto Components, Capital Goods, Realty, Services, Metals & Mining"
16,0.3763983280282066,9,"HUDCO, MRF, POLYCAB, HINDALCO, GMRAIRPORT, AMBUJACEM, TATAPOWER, LT, DLF","Financial Services, Automobile and Auto Components, Capital Goods, Metals & Mining, Services, Construction Materials, Power, Construction, Realty"
