basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
11,2,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,0.17268275663316907,5
11,3,ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,0.17268275663316907,5
11,4,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.17268275663316907,5
11,5,KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,0.17268275663316907,5
12,1,BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,0.1716467661096884,5
12,2,NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,0.1716467661096884,5
12,3,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,0.1716467661096884,5
12,4,BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,0.1716467661096884,5
12,5,ITC,ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,0.1716467661096884,5
13,1,AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,0.18916516054006688,5
13,2,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,0.18916516054006688,5
13,3,ASTRAL,ASTRAL.NS,Astral Ltd.,Capital Goods,0.18916516054006688,5
13,4,RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,0.18916516054006688,5
13,5,POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,0.18916516054006688,5
14,1,ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,0.18746815377342918,5
14,2,COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,Chemicals,0.18746815377342918,5
14,3,TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,0.18746815377342918,5
14,4,TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,0.18746815377342918,5
14,5,INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,Services,0.18746815377342918,5
15,1,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,0.19832573048082858,5
15,2,MAZDOCK,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,0.19832573048082858,5
15,3,DABUR,DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,0.19832573048082858,5
15,4,OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,0.19832573048082858,5
15,5,ONGC,ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,0.19832573048082858,5
16,1,HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,0.21311177550655844,5
16,2,TITAN,TITAN.NS,Titan Company Ltd.,Consumer Durables,0.21311177550655844,5
16,3,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,0.21311177550655844,5
16,4,ABB,ABB.NS,ABB India Ltd.,Capital Goods,0.21311177550655844,5
16,5,PIIND,PIIND.NS,PI Industries Ltd.,Chemicals,0.21311177550655844,5
17,1,UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,0.2113022249468305,5
17,2,ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,0.2113022249468305,5
17,3,LAURUSLABS,LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,0.2113022249468305,5
17,4,KEI,KEI.NS,KEI Industries Ltd.,Capital Goods,0.2113022249468305,5
17,5,ETERNAL,ETERNAL.NS,Eternal Ltd.,Consumer Services,0.2113022249468305,5
18,1,PNB,PNB.NS,Punjab National Bank,Financial Services,0.2034745553049712,5
18,2,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,0.2034745553049712,5
18,3,GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,0.2034745553049712,5
18,4,PIDILITIND,PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,0.2034745553049712,5
18,5,PRESTIGE,PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,0.2034745553049712,5
19,1,BANKINDIA,BANKINDIA.NS,Bank of India,Financial Services,0.22775739999166275,5
