basket_size,basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
4,1,1,LTF,LTF.NS,L&T Finance Ltd.,Financial Services,0.12540652240618635,4
4,1,2,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,0.12540652240618635,4
4,1,3,PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,0.12540652240618635,4
4,1,4,TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,0.12540652240618635,4
4,2,1,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,0.1330402458024536,4
4,2,2,HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,0.1330402458024536,4
4,2,3,ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,0.1330402458024536,4
4,2,4,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,0.1330402458024536,4
4,3,1,CANBK,CANBK.NS,Canara Bank,Financial Services,0.12913133576301858,4
4,3,2,NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,0.12913133576301858,4
4,3,3,MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,0.12913133576301858,4
4,3,4,TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,0.12913133576301858,4
4,4,1,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,0.14800421932329774,4
4,4,2,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,0.14800421932329774,4
4,4,3,MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology,0.14800421932329774,4
4,4,4,PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,0.14800421932329774,4
4,5,1,SBIN,SBIN.NS,State Bank of India,Financial Services,0.1376452891003595,4
4,5,2,PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,0.1376452891003595,4
4,5,3,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,0.1376452891003595,4
4,5,4,SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,0.1376452891003595,4
4,6,1,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,0.14695611959383595,4
4,6,2,CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,0.14695611959383595,4
4,6,3,VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,0.14695611959383595,4
4,6,4,INFY,INFY.NS,Infosys Ltd.,Information Technology,0.14695611959383595,4
4,7,1,PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,0.1552408332642005,4
4,7,2,BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,0.1552408332642005,4
4,7,3,IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication,0.1552408332642005,4
4,7,4,GVT&D,GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,0.1552408332642005,4
4,8,1,RECLTD,RECLTD.NS,REC Ltd.,Financial Services,0.16881532474874864,4
4,8,2,WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,0.16881532474874864,4
4,8,3,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,0.16881532474874864,4
4,8,4,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,0.16881532474874864,4
4,9,1,FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,0.16557268998385807,4
4,9,2,NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,0.16557268998385807,4
4,9,3,LUPIN,LUPIN.NS,Lupin Ltd.,Healthcare,0.16557268998385807,4
4,9,4,MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,0.16557268998385807,4
4,10,1,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,0.174615014846189,4
4,10,2,OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,0.174615014846189,4
4,10,3,ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,0.174615014846189,4
4,10,4,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,0.174615014846189,4
4,11,1,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,0.15596492595853145,4
4,11,2,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,0.15596492595853145,4
4,11,3,INDUSTOWER,INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,0.15596492595853145,4
4,11,4,SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,0.15596492595853145,4
4,12,1,BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,0.15148863107103824,4
4,12,2,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.15148863107103824,4
4,12,3,LTM,LTM.NS,LTM Ltd.,Information Technology,0.15148863107103824,4
4,12,4,BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,0.15148863107103824,4
4,13,1,AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,0.16105560404265354,4
4,13,2,KALYANKJIL,KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,0.16105560404265354,4
4,13,3,GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,0.16105560404265354,4
4,13,4,SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,Chemicals,0.16105560404265354,4
4,14,1,ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,0.16753345658153174,4
4,14,2,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,0.16753345658153174,4
4,14,3,KPITTECH,KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,0.16753345658153174,4
4,14,4,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,0.16753345658153174,4
4,15,1,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,0.17269235760615967,4
4,15,2,FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,0.17269235760615967,4
4,15,3,CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,0.17269235760615967,4
4,15,4,COFORGE,COFORGE.NS,Coforge Ltd.,Information Technology,0.17269235760615967,4
4,16,1,HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,0.17943059269505146,4
4,16,2,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,0.17943059269505146,4
4,16,3,RADICO,RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,0.17943059269505146,4
4,16,4,TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,0.17943059269505146,4
4,17,1,UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,0.17744678602981112,4
4,17,2,NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,0.17744678602981112,4
4,17,3,PAGEIND,PAGEIND.NS,Page Industries Ltd.,Textiles,0.17744678602981112,4
4,17,4,POWERGRID,POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,0.17744678602981112,4
4,18,1,PNB,PNB.NS,Punjab National Bank,Financial Services,0.18349872634652123,4
4,18,2,DABUR,DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,0.18349872634652123,4
