basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.13007137719512385,7,"LTF, DRREDDY, PATANJALI, TIINDIA, INFY, GVT&D, IDEA","Financial Services, Healthcare, Fast Moving Consumer Goods, Automobile and Auto Components, Information Technology, Capital Goods, Telecommunication"
2,0.13746633404740521,7,"LICHSGFIN, HCLTECH, ALKEM, POWERINDIA, HINDUNILVR, ADANIGREEN, OIL","Financial Services, Information Technology, Healthcare, Capital Goods, Fast Moving Consumer Goods, Power, Oil Gas & Consumable Fuels"
3,0.13447093586629558,7,"CANBK, NESTLEIND, MAXHEALTH, TCS, SOLARINDS, INDUSTOWER, SUZLON","Financial Services, Fast Moving Consumer Goods, Healthcare, Information Technology, Chemicals, Telecommunication, Capital Goods"
4,0.15157668756200435,7,"IDFCFIRSTB, TORNTPHARM, MPHASIS, PHOENIXLTD, VBL, CGPOWER, BHARTIARTL","Financial Services, Healthcare, Information Technology, Realty, Fast Moving Consumer Goods, Capital Goods, Telecommunication"
5,0.16169338323472177,7,"SBIN, PERSISTENT, GODREJCP, FORTIS, SUPREMEIND, ADANIENSOL, BLUESTARCO","Financial Services, Information Technology, Fast Moving Consumer Goods, Healthcare, Capital Goods, Power, Consumer Durables"
6,0.17033114474014646,7,"ABCAPITAL, CIPLA, NYKAA, MARICO, ATGL, OFSS, MAZDOCK","Financial Services, Healthcare, Consumer Services, Fast Moving Consumer Goods, Oil Gas & Consumable Fuels, Information Technology, Capital Goods"
7,0.18106447583634622,7,"PFC, BRITANNIA, KPITTECH, LUPIN, INDIGO, NAUKRI, POWERGRID","Financial Services, Fast Moving Consumer Goods, Information Technology, Healthcare, Services, Consumer Services, Power"
8,0.1796950965660392,7,"RECLTD, WIPRO, GODFRYPHLP, PAGEIND, SUNPHARMA, COROMANDEL, KEI","Financial Services, Information Technology, Fast Moving Consumer Goods, Textiles, Healthcare, Chemicals, Capital Goods"
9,0.18395418013701692,7,"FEDERALBNK, DIVISLAB, ETERNAL, COLPAL, ONGC, KALYANKJIL, LTM","Financial Services, Healthcare, Consumer Services, Fast Moving Consumer Goods, Oil Gas & Consumable Fuels, Consumer Durables, Information Technology"
10,0.19998180567679624,7,"HDFCAMC, ASIANPAINT, BDL, COFORGE, ITC, GLENMARK, DMART","Financial Services, Consumer Durables, Capital Goods, Information Technology, Fast Moving Consumer Goods, Healthcare, Consumer Services"
11,0.19567907472327775,7,"M&MFIN, TECHM, ABB, RADICO, APOLLOHOSP, COALINDIA, PIIND","Financial Services, Information Technology, Capital Goods, Fast Moving Consumer Goods, Healthcare, Oil Gas & Consumable Fuels, Chemicals"
12,0.20309050400096018,7,"BANKBARODA, DABUR, APLAPOLLO, ZYDUSLIFE, TRENT, HINDZINC, PRESTIGE","Financial Services, Fast Moving Consumer Goods, Capital Goods, Healthcare, Consumer Services, Metals & Mining, Realty"
13,0.22030077644023188,7,"AXISBANK, LAURUSLABS, ASTRAL, NHPC, UNITDSPR, OBEROIRLTY, TATACOMM","Financial Services, Healthcare, Capital Goods, Power, Fast Moving Consumer Goods, Realty, Telecommunication"
14,0.23193518618599396,7,"ICICIBANK, COCHINSHIP, BIOCON, TITAN, TATAELXSI, HINDPETRO, INDHOTEL","Financial Services, Capital Goods, Healthcare, Consumer Durables, Information Technology, Oil Gas & Consumable Fuels, Consumer Services"
15,0.2380899364497035,7,"BAJAJFINSV, HAL, AUROPHARMA, PIDILITIND, ADANIPOWER, LODHA, JUBLFOOD","Financial Services, Capital Goods, Healthcare, Chemicals, Power, Realty, Consumer Services"
16,0.2653138027295301,7,"HUDCO, TATACONSUM, CUMMINSIND, DIXON, BAJAJ-AUTO, VEDL, RVNL","Financial Services, Fast Moving Consumer Goods, Capital Goods, Consumer Durables, Automobile and Auto Components, Metals & Mining, Construction"
17,0.28116950908717325,7,"UNIONBANK, HEROMOTOCO, HAVELLS, NTPC, SHREECEM, NATIONALUM, UPL","Financial Services, Automobile and Auto Components, Consumer Durables, Power, Construction Materials, Metals & Mining, Chemicals"
18,0.2860173364407236,7,"PNB, EICHERMOT, JSWENERGY, CONCOR, RELIANCE, POLYCAB, SRF","Financial Services, Automobile and Auto Components, Power, Services, Oil Gas & Consumable Fuels, Capital Goods, Chemicals"
19,0.30079679658496355,7,"BANKINDIA, TVSMOTOR, BPCL, GODREJPROP, ADANIENT, VOLTAS, IRCTC","Financial Services, Automobile and Auto Components, Oil Gas & Consumable Fuels, Realty, Metals & Mining, Consumer Durables, Consumer Services"
20,0.3277666228680229,7,"BAJFINANCE, GAIL, MRF, GMRAIRPORT, HINDALCO, BEL, AMBUJACEM","Financial Services, Oil Gas & Consumable Fuels, Automobile and Auto Components, Services, Metals & Mining, Capital Goods, Construction Materials"
21,0.3467188014994804,7,"SHRIRAMFIN, IOC, JINDALSTEL, BOSCHLTD, ADANIPORTS, ULTRACEMCO, BHEL","Financial Services, Oil Gas & Consumable Fuels, Metals & Mining, Automobile and Auto Components, Services, Construction Materials, Capital Goods"
22,0.3796056157199996,7,"HDFCBANK, NMDC, MARUTI, TATAPOWER, ASHOKLEY, GRASIM, DLF","Financial Services, Metals & Mining, Automobile and Auto Components, Power, Capital Goods, Construction Materials, Realty"
