basket_id,basket_avg_pairwise_corr,basket_sector_count,symbols,sectors
1,0.12724494433579828,3,"LTF, DRREDDY, PATANJALI","Financial Services, Healthcare, Fast Moving Consumer Goods"
2,0.13703677955574556,3,"LICHSGFIN, HCLTECH, ALKEM","Financial Services, Information Technology, Healthcare"
3,0.11835390808082587,3,"CANBK, NESTLEIND, MAXHEALTH","Financial Services, Fast Moving Consumer Goods, Healthcare"
4,0.14729373337741383,3,"IDFCFIRSTB, TORNTPHARM, TCS","Financial Services, Healthcare, Information Technology"
5,0.14709189204253503,3,"SBIN, PERSISTENT, HINDUNILVR","Financial Services, Information Technology, Fast Moving Consumer Goods"
6,0.15379389793291928,3,"ABCAPITAL, CIPLA, VBL","Financial Services, Healthcare, Fast Moving Consumer Goods"
7,0.1447355372994992,3,"PFC, INFY, GODFRYPHLP","Financial Services, Information Technology, Fast Moving Consumer Goods"
8,0.1560629181161871,3,"RECLTD, BRITANNIA, IDEA","Financial Services, Fast Moving Consumer Goods, Telecommunication"
9,0.1569137264411309,3,"FEDERALBNK, MPHASIS, COLPAL","Financial Services, Information Technology, Fast Moving Consumer Goods"
10,0.17014422783650843,3,"HDFCAMC, OIL, TIINDIA","Financial Services, Oil Gas & Consumable Fuels, Automobile and Auto Components"
11,0.15909208472097017,3,"M&MFIN, DIVISLAB, INDUSTOWER","Financial Services, Healthcare, Telecommunication"
12,0.1498978039586436,3,"BANKBARODA, WIPRO, PHOENIXLTD","Financial Services, Information Technology, Realty"
13,0.13830026098392784,3,"AXISBANK, POWERINDIA, MARICO","Financial Services, Capital Goods, Fast Moving Consumer Goods"
14,0.15766606739295966,3,"ICICIBANK, ZYDUSLIFE, GVT&D","Financial Services, Healthcare, Capital Goods"
15,0.15774326549723372,3,"BAJAJFINSV, LUPIN, SUZLON","Financial Services, Healthcare, Capital Goods"
16,0.1760603898536065,3,"HUDCO, APOLLOHOSP, BLUESTARCO","Financial Services, Healthcare, Consumer Durables"
17,0.1640001330367829,3,"UNIONBANK, LTM, PAGEIND","Financial Services, Information Technology, Textiles"
18,0.15593527413601677,3,"PNB, NAUKRI, SUNPHARMA","Financial Services, Consumer Services, Healthcare"
19,0.1680177867981829,3,"BANKINDIA, COFORGE, GODREJCP","Financial Services, Information Technology, Fast Moving Consumer Goods"
20,0.1694914984785203,3,"BAJFINANCE, CGPOWER, OFSS","Financial Services, Capital Goods, Information Technology"
21,0.16544797833372177,3,"SHRIRAMFIN, TECHM, ADANIGREEN","Financial Services, Information Technology, Power"
22,0.17503099865146257,3,"HDFCBANK, NHPC, DMART","Financial Services, Power, Consumer Services"
23,0.15446641929481794,3,"SBICARD, TATACOMM, SUPREMEIND","Financial Services, Telecommunication, Capital Goods"
24,0.16040536480951503,3,"CHOLAFIN, FORTIS, ITC","Financial Services, Healthcare, Fast Moving Consumer Goods"
25,0.16184240605218922,3,"INDUSINDBK, NYKAA, ONGC","Financial Services, Consumer Services, Oil Gas & Consumable Fuels"
26,0.1739070627701813,3,"INDIANB, ASIANPAINT, KPITTECH","Financial Services, Consumer Durables, Information Technology"
27,0.17259639719525066,3,"HDFCLIFE, ADANIENSOL, KALYANKJIL","Financial Services, Power, Consumer Durables"
28,0.16770279169031865,3,"KOTAKBANK, COCHINSHIP, BHARTIARTL","Financial Services, Capital Goods, Telecommunication"
29,0.16783328845273807,3,"SBILIFE, SOLARINDS, GLENMARK","Financial Services, Chemicals, Healthcare"
30,0.17069983824178778,3,"IRFC, RADICO, PIDILITIND","Financial Services, Fast Moving Consumer Goods, Chemicals"
31,0.17778619172958843,3,"SIEMENS, YESBANK, DABUR","Capital Goods, Financial Services, Fast Moving Consumer Goods"
32,0.1917563570113253,3,"BHEL, PIIND, BAJAJHLDNG","Capital Goods, Chemicals, Financial Services"
33,0.19982132434148228,3,"EXIDEIND, PAYTM, ATGL","Automobile and Auto Components, Financial Services, Oil Gas & Consumable Fuels"
34,0.21942955582645518,3,"ASHOKLEY, ICICIGI, ETERNAL","Capital Goods, Financial Services, Consumer Services"
35,0.22454325585063203,3,"BHARATFORG, 360ONE, POWERGRID","Automobile and Auto Components, Financial Services, Power"
36,0.21919316447397744,3,"SAIL, TRENT, ASTRAL","Metals & Mining, Consumer Services, Capital Goods"
37,0.21845091365396627,3,"MOTHERSON, AUROPHARMA, ABB","Automobile and Auto Components, Healthcare, Capital Goods"
38,0.21446136397795557,3,"TATASTEEL, INDIGO, COROMANDEL","Metals & Mining, Services, Chemicals"
39,0.20380907489529,3,"TMPV, KEI, MFSL","Automobile and Auto Components, Capital Goods, Financial Services"
40,0.2255337491878415,3,"JSWSTEEL, POLICYBZR, ADANIPOWER","Metals & Mining, Financial Services, Power"
41,0.2076294952739962,3,"MARUTI, HAL, TATAELXSI","Automobile and Auto Components, Capital Goods, Information Technology"
42,0.21922906209858875,3,"HINDALCO, AUBANK, BIOCON","Metals & Mining, Financial Services, Healthcare"
43,0.20178064844982221,3,"BOSCHLTD, PRESTIGE, TATAINVEST","Automobile and Auto Components, Realty, Financial Services"
44,0.2268568989237669,3,"JINDALSTEL, BSE, JUBLFOOD","Metals & Mining, Financial Services, Consumer Services"
45,0.23530719453421156,3,"BEL, BAJAJ-AUTO, MOTILALOFS","Capital Goods, Automobile and Auto Components, Financial Services"
46,0.21006506197866115,3,"IOC, UNITDSPR, OBEROIRLTY","Oil Gas & Consumable Fuels, Fast Moving Consumer Goods, Realty"
47,0.2360996817602813,3,"NMDC, TVSMOTOR, LAURUSLABS","Metals & Mining, Automobile and Auto Components, Healthcare"
48,0.2167822627376611,3,"POLYCAB, LODHA, HINDZINC","Capital Goods, Realty, Metals & Mining"
