ticker,token,company_name,series
JUBLFOOD.NS,18096,Jubilant Foodworks Ltd.,EQ
KALYANKJIL.NS,2955,Kalyan Jewellers India Ltd.,EQ
KEI.NS,13310,KEI Industries Ltd.,EQ
KOTAKBANK.NS,1922,Kotak Mahindra Bank Ltd.,EQ
KPITTECH.NS,9683,KPIT Technologies Ltd.,EQ
LAURUSLABS.NS,19234,Laurus Labs Ltd.,EQ
LENSKART.NS,759605,Lenskart Solutions Ltd.,EQ
LGEINDIA.NS,760213,LG Electronics India Ltd.,EQ
LICHSGFIN.NS,1997,LIC Housing Finance Ltd.,EQ
LODHA.NS,3220,Lodha Developers Ltd.,EQ
LT.NS,11483,Larsen & Toubro Ltd.,EQ
LTF.NS,24948,L&T Finance Ltd.,EQ
LTM.NS,17818,LTM Ltd.,EQ
LUPIN.NS,10440,Lupin Ltd.,EQ
M&M.NS,2031,Mahindra & Mahindra Ltd.,EQ
M&MFIN.NS,13285,Mahindra & Mahindra Financial Services Ltd.,EQ
MANKIND.NS,15380,Mankind Pharma Ltd.,EQ
MARICO.NS,4067,Marico Ltd.,EQ
MARUTI.NS,10999,Maruti Suzuki India Ltd.,EQ
MAXHEALTH.NS,22377,Max Healthcare Institute Ltd.,EQ
MAZDOCK.NS,509,Mazagoan Dock Shipbuilders Ltd.,EQ
MCX.NS,31181,Multi Commodity Exchange of India Ltd.,EQ
MFSL.NS,2142,Max Financial Services Ltd.,EQ
MOTHERSON.NS,4204,Samvardhana Motherson International Ltd.,EQ
MOTILALOFS.NS,14947,Motilal Oswal Financial Services Ltd.,EQ
MPHASIS.NS,4503,MphasiS Ltd.,EQ
MRF.NS,2277,MRF Ltd.,EQ
MUTHOOTFIN.NS,23650,Muthoot Finance Ltd.,EQ
NATIONALUM.NS,6364,National Aluminium Co. Ltd.,EQ
NAUKRI.NS,13751,Info Edge (India) Ltd.,EQ
NESTLEIND.NS,17963,Nestle India Ltd.,EQ
NHPC.NS,17400,NHPC Ltd.,EQ
NMDC.NS,15332,NMDC Ltd.,EQ
NTPC.NS,11630,NTPC Ltd.,EQ
NYKAA.NS,6545,FSN E-Commerce Ventures Ltd.,EQ
OBEROIRLTY.NS,20242,Oberoi Realty Ltd.,EQ
OFSS.NS,10738,Oracle Financial Services Software Ltd.,EQ
OIL.NS,17438,Oil India Ltd.,EQ
ONGC.NS,2475,Oil & Natural Gas Corporation Ltd.,EQ
PAGEIND.NS,14413,Page Industries Ltd.,EQ
PATANJALI.NS,17029,Patanjali Foods Ltd.,EQ
PAYTM.NS,6705,One 97 Communications Ltd.,EQ
PERSISTENT.NS,18365,Persistent Systems Ltd.,EQ
PFC.NS,14299,Power Finance Corporation Ltd.,EQ
PHOENIXLTD.NS,14552,Phoenix Mills Ltd.,EQ
PIDILITIND.NS,2664,Pidilite Industries Ltd.,EQ
PIIND.NS,24184,PI Industries Ltd.,EQ
PNB.NS,10666,Punjab National Bank,EQ
POLICYBZR.NS,6656,PB Fintech Ltd.,EQ
POLYCAB.NS,9590,Polycab India Ltd.,EQ
POWERGRID.NS,14977,Power Grid Corporation of India Ltd.,EQ
